location,size,total_sqft,bath,price,price_per_sqft
Electronic City Phase II,2 BHK,1056,2,39.07,3699
Chikka Tirupathi,4 Bedroom,2600,5,120,4615
Uttarahalli,3 BHK,1440,2,62,4305
Lingadheeranahalli,3 BHK,1521,3,95,6245
Kothanur,2 BHK,1200,2,51,4250
Whitefield,2 BHK,1170,2,38,3247
Old Airport Road,4 BHK,2732,4,204,7467
Rajaji Nagar,4 BHK,3300,4,600,18181
Marathahalli,3 BHK,1310,3,63.25,4828
other,6 Bedroom,1020,6,370,36274
Whitefield,3 BHK,1800,2,70,3888
Whitefield,4 Bedroom,2785,5,295,10592
7th Phase JP Nagar,2 BHK,1000,2,38,3800
Gottigere,2 BHK,1100,2,40,3636
Sarjapur,3 Bedroom,2250,3,148,6577
Mysore Road,2 BHK,1175,2,73.5,6255
Bisuvanahalli,3 BHK,1180,3,48,4067
Raja Rajeshwari Nagar,3 BHK,1540,3,60,3896
other,3 BHK,2770,4,290,10469
other,2 BHK,1100,2,48,4363
Kengeri,1 BHK,600,1,15,2500
Binny Pete,3 BHK,1755,3,122,6951
Thanisandra,4 Bedroom,2800,5,380,13571
Bellandur,3 BHK,1767,3,103,5829
Thanisandra,1 RK,510,1,25.25,4950
other,3 BHK,1250,3,56,4480
Electronic City,2 BHK,660,1,23.1,3500
Whitefield,3 BHK,1610,3,81,5031
Ramagondanahalli,2 BHK,1151,2,48.77,4237
Electronic City,3 BHK,1025,2,47,4585
Yelahanka,4 BHK,2475,4,186,7515
Bisuvanahalli,3 BHK,1075,2,35,3255
Hebbal,3 BHK,1760,2,123,6988
Raja Rajeshwari Nagar,3 BHK,1693,3,57.39,3389
Kasturi Nagar,3 BHK,1925,3,125,6493
Kanakpura Road,2 BHK,700,2,36,5142
Electronics City Phase 1,2 BHK,1070,2,45.5,4252
Kundalahalli,3 BHK,1724,3,125,7250
Chikkalasandra,3 BHK,1290,2,56.12,4350
Uttarahalli,2 BHK,1143,2,45,3937
Murugeshpalya,2 BHK,1296,2,81,6250
Sarjapur  Road,3 BHK,1254,3,38,3030
other,1 BHK,600,1,38,6333
Yelahanka,1 Bedroom,660,1,48,7272
Kanakpura Road,2 BHK,1330.74,2,91.79,6897
HSR Layout,8 Bedroom,600,9,200,33333
Doddathoguru,2 BHK,970,2,33,3402
Whitefield,2 BHK,1459,2,94.82,6498
KR Puram,2 Bedroom,800,1,130,16250
other,2 BHK,869,2,36,4142
other,2 BHK,1270,2,50,3937
